times,assemble_time1,assemble_time2,assemble_time3,assemble_time4,assemble_time5,assemble_time6,assemble_time7,assemble_time8,assemble_time9,assemble_time10,assemble_time11,assemble_time12,assemble_time13,assemble_time14,assemble_time15,assemble_time16,assemble_time17,assemble_time18,assemble_time19,assemble_time20,assemble_time21,assemble_time22,assemble_time23,assemble_time24,assemble_time25,assemble_time26,assemble_time27,assemble_time28,assemble_time29,assemble_time30,assemble_time31,assemble_time32,assemble_time33,assemble_time34,assemble_time35,assemble_time36,assemble_time37,assemble_time38,assemble_time39,assemble_time40,assemble_time41,assemble_time42,assemble_time43,assemble_time44,assemble_time45,assemble_time46,assemble_time47,assemble_time48,assemble_time49,assemble_time50,assemble_time51,assemble_time52,assemble_time53,assemble_time54,assemble_time55,assemble_time56,assemble_time57,assemble_time58,assemble_time59,assemble_time60,assemble_time61,assemble_time62,assemble_time63,assemble_time64,assemble_time65,assemble_time66,assemble_time67,assemble_time68,assemble_time69,assemble_time70,assemble_time71,assemble_time72,assemble_time73,assemble_time74,assemble_time75,assemble_time76,assemble_time77,assemble_time78,assemble_time79,assemble_time80,assemble_time81,assemble_time82,assemble_time83,assemble_time84,assemble_time85,assemble_time86,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20,date21,date22,date23,date24,date25,date26,date27,date28,date29,date30,date31,date32,date33,date34,date35,date36,date37,date38,date39,date40,date41,date42,date43,date44,date45,date46,date47,date48,date49,date50,date51,date52,date53,date54,date55,date56,date57,date58,date59,date60,date61,date62,date63,date64,date65,date66,date67,date68,date69,date70,date71,date72,date73,date74,date75,date76,date77,date78,date79,date80,date81,date82,date83,date84,date85,date86,hours1,hours2,hours3,hours4,hours5,hours6,hours7,hours8,hours9,hours10,hours11,hours12,hours13,hours14,hours15,hours16,hours17,hours18,hours19,hours20,hours21,hours22,hours23,hours24,hours25,hours26,hours27,hours28,hours29,hours30,hours31,hours32,hours33,hours34,hours35,hours36,hours37,hours38,hours39,hours40,hours41,hours42,hours43,hours44,hours45,hours46,hours47,hours48,hours49,hours50,hours51,hours52,hours53,hours54,hours55,hours56,hours57,hours58,hours59,hours60,hours61,hours62,hours63,hours64,hours65,hours66,hours67,hours68,hours69,hours70,hours71,hours72,hours73,hours74,hours75,hours76,hours77,hours78,hours79,hours80,hours81,hours82,hours83,hours84,hours85,hours86
75,1825,1814,5470,5511,3691,4496,7539,1801,1803,1803,12605,599,4337,4345,3635,612,9168,1847,1869,1889,763,1140,1133,1135,1141,1083,2416,1081,1076,714,715,711,709,1799,3590,5397,1789,1814,7241,1811,1824,1828,2448,1825 ,1824 ,5477 ,5511 ,3694 ,4488 ,7539 ,1803 ,1802 ,1801 ,12592 ,603 ,4339 ,4345 ,3636 ,610 ,9165 ,1846 ,1865 ,1879 ,758 ,1143 ,1135 ,1138 ,1141 ,1095 ,2415 ,1088 ,1090 ,725 ,714 ,722 ,724 ,1796 ,3602 ,5396 ,1795 ,1809 ,7234 ,1807 ,1830 ,1841 ,2442 ,2020/8/21,2020/8/21,2020/8/21,2020/8/21,2020/8/21,2020/8/21,2020/8/21,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/21,2020/8/21,2020/8/21,2020/8/21,2020/8/21,2020/8/21,2020/8/21,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,16,16,16,17,18,20,21,8,8,8,9,9,14,14,15,17,17,18,20,21,21,22,22,22,22,6,6,6,7,7,8,8,8,9,9,10,11,13,14,14,16,17,17,16,16,16,17,18,20,21,8,8,8,9,9,14,14,15,17,17,18,20,21,21,22,22,22,22,6,6,6,7,7,8,8,8,9,9,10,11,13,14,14,16,17,17
76,1811,1801,5400,5407,3601,4321,7231,1832,1835,1840,12906,628,4558,4348,3609,597,8990,1802,1801,1806,722,1086,1083,1095,1088,1093,2431,1091,1103,731,732,731,735,1863,3706,5574,1874,1900,7234,1820,1804,1790,2396,1801 ,1801 ,5403 ,5391 ,3591 ,4331 ,7239 ,1834 ,1828 ,1841 ,12902 ,613 ,4578 ,4351 ,3604 ,602 ,9004 ,1799 ,1800 ,1804 ,721 ,1081 ,1093 ,1098 ,1087 ,1094 ,2441 ,1091 ,1096 ,726 ,727 ,736 ,734 ,1871 ,3710 ,5578 ,1872 ,1901 ,7244 ,1810 ,1792 ,1794 ,2404 ,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,8,8,8,9,10,13,14,17,17,18,18,19,22,6,7,9,9,9,13,13,14,14,15,15,15,15,16,16,17,17,17,18,18,19,19,19,20,22,6,6,8,9,9,8,8,8,9,10,13,14,17,17,18,18,19,22,6,7,9,9,9,13,13,14,14,15,15,15,15,16,16,17,17,17,18,18,19,19,19,20,22,6,6,8,9,9
77,1832,1831,5531,5524,3743,4525,7228,1795,1804,1797,12590,598,4359,4350,3665,614,9291,1856,1904,1906,720,1089,1089,1079,1076,1091,2405,1081,1085,718,718,714,714,1802,3587,5403,1803,1806,7267,1818,1842,1849,2477,1831 ,1825 ,5540 ,5535 ,3744 ,4523 ,7236 ,1801 ,1812 ,1799 ,12594 ,594 ,4352 ,4354 ,3670 ,627 ,9270 ,1858 ,1904 ,1904 ,725 ,1081 ,1089 ,1076 ,1085 ,1078 ,2399 ,1082 ,1079 ,717 ,718 ,714 ,723 ,1793 ,3584 ,5390 ,1810 ,1814 ,7271 ,1821 ,1843 ,1848 ,2472 ,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/22,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,17,17,18,18,20,21,6,9,9,10,10,11,15,15,17,19,19,19,22,22,6,6,6,7,7,7,8,8,9,9,9,9,10,11,11,11,13,15,15,16,18,18,19,17,17,18,18,20,21,6,9,9,10,10,11,15,15,17,19,19,19,22,22,6,6,6,7,7,7,8,8,9,9,9,9,10,11,11,11,13,15,15,16,18,18,19
78,1798,1801,5386,5393,3608,4343,7266,1857,1856,1858,13081,626,4333,4342,3593,601,8993,1801,1806,1820,727,1108,1090,1088,1098,1104,2442,1100,1107,745,742,748,736,1869,3735,5655,1907,1805,7212,1805,1797,1805,2387,1809 ,1797 ,5389 ,5388 ,3606 ,4344 ,7264 ,1847 ,1854 ,1858 ,13091 ,638 ,4331 ,4334 ,3598 ,596 ,8988 ,1791 ,1816 ,1817 ,729 ,1094 ,1093 ,1095 ,1098 ,1103 ,2441 ,1109 ,1103 ,742 ,746 ,745 ,745 ,1863 ,3744 ,5658 ,1902 ,1804 ,7218 ,1800 ,1798 ,1798 ,2401 ,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,9,9,10,10,13,14,15,19,19,19,20,20,7,7,8,11,11,11,14,15,15,16,16,16,17,17,17,18,18,19,19,19,19,20,20,21,22,7,7,8,10,10,11,9,9,10,10,13,14,15,19,19,19,20,20,7,7,8,11,11,11,14,15,15,16,16,16,17,17,17,18,18,19,19,19,19,20,20,21,22,7,7,8,10,10,11
79,1859,1858,5569,5603,3773,4344,7227,1804,1797,1804,12641,608,4408,4399,3695,622,9345,1882,1809,1806,721,1085,1071,1085,1083,1081,2398,1077,1071,717,707,724,729,1806,3615,5435,1814,1831,7332,1835,1851,1865,2489,1863 ,1871 ,5570 ,5612 ,3771 ,4339 ,7213 ,1805 ,1800 ,1806 ,12627 ,607 ,4404 ,4405 ,3684 ,614 ,9356 ,1882 ,1814 ,1809 ,719 ,1086 ,1071 ,1080 ,1084 ,1082 ,2389 ,1073 ,1076 ,721 ,724 ,716 ,724 ,1805 ,3609 ,5423 ,1817 ,1824 ,7338 ,1839 ,1857 ,1868 ,2491 ,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/23,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,19,19,19,20,21,6,7,11,11,11,13,13,17,17,18,20,20,21,6,7,7,8,8,8,9,9,9,9,10,10,11,11,11,13,13,14,15,16,17,17,19,20,20,19,19,19,20,21,6,7,11,11,11,13,13,17,17,18,20,20,21,6,7,7,8,8,8,9,9,9,9,10,10,11,11,11,13,13,14,15,16,17,17,19,20,20
80,1793,1801,5395,5415,3621,4376,7342,1867,1881,1883,13192,625,4317,4315,3602,608,9024,1807,1830,1823,733,1106,1115,1110,1108,1114,2482,1113,1123,747,758,756,759,1907,3800,5431,1802,1796,7197,1803,1793,1796,2396,1802 ,1803 ,5387 ,5418 ,3633 ,4380 ,7340 ,1875 ,1876 ,1880 ,13198 ,633 ,4312 ,4313 ,3595 ,600 ,9024 ,1806 ,1822 ,1833 ,732 ,1113 ,1107 ,1113 ,1103 ,1113 ,2474 ,1099 ,1127 ,746 ,755 ,762 ,760 ,1901 ,3792 ,5424 ,1804 ,1797 ,7195 ,1803 ,1802 ,1803 ,2408 ,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,11,11,11,13,14,16,17,20,20,21,21,22,9,9,10,13,13,13,16,16,17,17,18,18,18,19,19,19,20,20,21,21,21,22,22,6,7,8,9,9,11,13,13,11,11,11,13,14,16,17,20,20,21,21,22,9,9,10,13,13,13,16,16,17,17,18,18,18,19,19,19,20,20,21,21,21,22,22,6,7,8,9,9,11,13,13
81,1877,1874,5656,5651,3611,4318,7192,1809,1802,1815,12670,603,4421,4425,3736,640,9515,1905,1804,1798,719,1081,1077,1087,1090,1093,2400,1073,1079,727,706,729,719,1818,3640,5454,1823,1846,7388,1859,1886,1884,2541,1873 ,1871 ,5649 ,5657 ,3616 ,4323 ,7204 ,1801 ,1805 ,1806 ,12671 ,615 ,4435 ,4419 ,3732 ,634 ,9501 ,1899 ,1803 ,1793 ,717 ,1074 ,1076 ,1089 ,1081 ,1091 ,2405 ,1082 ,1075 ,725 ,725 ,724 ,724 ,1819 ,3627 ,5450 ,1826 ,1843 ,7385 ,1844 ,1888 ,1886 ,2537 ,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/24,2020/8/24,2020/8/24,2020/8/24,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,20,20,21,21,6,8,9,13,13,14,14,15,18,18,20,22,22,22,8,8,9,9,10,10,10,10,11,11,13,13,13,14,14,15,15,15,16,18,18,19,21,21,22,20,20,21,21,6,8,9,13,13,14,14,15,18,18,20,22,22,22,8,8,9,9,10,10,10,10,11,11,13,13,13,14,14,15,15,15,16,18,18,19,21,21,22
82,1805,1802,5430,5432,3645,4409,7378,1900,1906,1805,12671,596,4318,4314,3596,606,9083,1810,1836,1831,738,1115,1120,1104,1119,1128,2497,1128,1139,763,755,759,766,1813,3608,5414,1803,1797,7190,1787,1815,1804,2428,1810 ,1805 ,5423 ,5429 ,3658 ,4397 ,7380 ,1910 ,1907 ,1814 ,12658 ,601 ,4317 ,4319 ,3591 ,607 ,9085 ,1815 ,1835 ,1845 ,746 ,1107 ,1114 ,1109 ,1122 ,1129 ,2494 ,1141 ,1132 ,761 ,756 ,758 ,767 ,1820 ,3607 ,5411 ,1805 ,1800 ,7190 ,1802 ,1811 ,1804 ,2427 ,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/25,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,13,13,14,14,16,17,18,22,22,6,6,7,10,10,11,15,15,15,17,18,18,19,19,19,20,20,20,21,21,22,22,22,22,7,7,7,8,10,10,11,14,14,15,13,13,14,14,16,17,18,22,22,6,6,7,10,10,11,15,15,15,17,18,18,19,19,19,20,20,20,21,21,22,22,22,22,7,7,7,8,10,10,11,14,14,15
83,1905,1898,5428,5430,3603,4312,7186,1817,1816,1813,12767,608,4492,4479,3767,600,9021,1801,1801,1801,718,1084,1083,1081,1087,1085,2401,1088,1090,724,725,732,724,1815,3654,5515,1849,1852,7484,1873,1903,1823,2404,1901 ,1901 ,5420 ,5434 ,3599 ,4318 ,7193 ,1816 ,1812 ,1814 ,12759 ,608 ,4498 ,4485 ,3763 ,589 ,9022 ,1804 ,1793 ,1805 ,714 ,1080 ,1081 ,1092 ,1090 ,1090 ,2408 ,1087 ,1084 ,719 ,731 ,723 ,721 ,1824 ,3653 ,5509 ,1842 ,1867 ,7478 ,1879 ,1904 ,1801 ,2406 ,2020/8/25,2020/8/25,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/28,2020/8/28,2020/8/25,2020/8/25,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/28,2020/8/28,22,22,6,6,8,9,10,15,15,15,16,16,20,20,21,7,7,7,9,10,10,11,11,11,13,13,13,13,14,14,15,15,15,16,16,17,18,19,20,20,22,6,7,22,22,6,6,8,9,10,15,15,15,16,16,20,20,21,7,7,7,9,10,10,11,11,11,13,13,13,13,14,14,15,15,15,16,16,17,18,19,20,20,22,6,7
84,1823,1822,5453,5476,3663,4451,7484,1803,1809,1798,12601,608,4330,4333,3616,607,9128,1824,1859,1852,748,1125,1122,1135,1140,1141,2532,1137,1088,723,720,719,727,1808,3602,5394,1792,1804,7221,1799,1815,1828,2430,1819 ,1819 ,5464 ,5475 ,3666 ,4455 ,7474 ,1801 ,1809 ,1805 ,12613 ,598 ,4333 ,4330 ,3622 ,618 ,9124 ,1829 ,1855 ,1855 ,746 ,1128 ,1125 ,1124 ,1129 ,1139 ,2539 ,1140 ,1095 ,722 ,722 ,719 ,727 ,1802 ,3606 ,5391 ,1793 ,1794 ,7221 ,1802 ,1815 ,1825 ,2448 ,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/26,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,15,15,15,16,17,19,20,7,7,7,8,8,13,13,14,16,16,16,19,19,20,20,21,21,21,22,22,22,6,6,7,7,7,8,8,9,10,11,13,13,15,16,16,15,15,15,16,17,19,20,7,7,7,8,8,13,13,14,16,16,16,19,19,20,20,21,21,21,22,22,22,6,6,7,7,7,8,8,9,10,11,13,13,15,16,16
85,1804,1800,5406,5402,3604,4316,7216,1827,1828,1840,12825,606,4524,4526,3620,598,9009,1803,1794,1799,722,1077,1077,1092,1087,1086,2425,1093,1102,728,724,726,734,1846,3686,5549,1863,1883,7540,1901,1805,1797,2404,1805 ,1810 ,5411 ,5399 ,3593 ,4315 ,7218 ,1828 ,1827 ,1840 ,12837 ,629 ,4528 ,4523 ,3625 ,600 ,9002 ,1803 ,1799 ,1798 ,722 ,1071 ,1078 ,1084 ,1089 ,1100 ,2423 ,1090 ,1099 ,728 ,722 ,730 ,732 ,1840 ,3693 ,5537 ,1855 ,1888 ,7545 ,1900 ,1807 ,1802 ,2406 ,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/29,2020/8/29,2020/8/29,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/27,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/28,2020/8/29,2020/8/29,2020/8/29,7,7,7,8,9,11,13,16,16,17,17,18,21,21,6,8,8,8,11,11,13,13,13,14,14,14,15,15,16,16,16,16,17,18,18,18,19,21,21,22,7,8,8,7,7,7,8,9,11,13,16,16,17,17,18,21,21,6,8,8,8,11,11,13,13,13,14,14,14,15,15,16,16,16,16,17,18,18,18,19,21,21,22,7,8,8
